Timestamp,1,2,3,4,5,6,7,8,9,10
2019-12-08,MTB,VER,ATO,COMM,WAB,VRTX,CSX,AET,ACGL,VRSK
2019-12-30,HRL,AKAM,JCI,BWA,FANG,CXO,AMD,CB,JNPR,HAS
2019-12-31,HLT,TSCO,NOW,ZBH,EXC,FDC,NCLH,KMI,URI,AVY
2020-01-01,DXC,AFL,KMB,CNP,CLX,BG,LULU,ATO,FAST,AKAM
2020-01-04,ECL,AFL,RCL,ETFC,AZO,S,LNC,IP,AME,JBHT
2020-01-07,ECL,LB,AIZ,HBAN,PCAR,NKE,LEA,TFX,ISRG,A
2020-01-11,JBHT,STI,STZ,ACGL,SBNY,AGCO,KLAC,UGI,AGN,VRSN
2020-01-13,CBS,HAL,CINF,CDNS,LM,AFL,PII,GE,JLL,IP
2020-01-14,HSIC,MHK,TRU,DOV,INFO,XYL,DG,SO,VRTX,MTB
2020-01-20,K,EIX,RCL,ACGL,ROST,ABC,SO,MCK,ARMK,NTRS
2020-01-24,LNC,LULU,ATO,SHW,ARW,NUE,ADS,AFL,ALNY,SWN
2020-01-26,SABR,CTXS,BMRN,UNH,NBL,AZO,PCAR,DXC,BSX,CLX
2020-01-30,AFL,PAYX,ADBE,FL,NTRS,TRV,EXC,AFG,CDNS,CAG
2020-01-31,CELG,AR,UTHR,GME,CSX,VRSN,IVZ,TSCO,ROST,CLX
2020-02-02,LEN,DFS,BDX,AZO,TMO,TMUS,DATA,TGT,NCLH,ALXN
2020-02-05,ES,EPC,GME,AVY,AMP,TROW,L,KMX,MKL,ROST
2020-02-06,GPC,INFO,SWN,AZO,VEEV,DVN,PFG,TTWO,PBCT,EXR
2020-02-11,MDU,SBNY,NLSN,KIM,MU,KMB,VRSN,MAC,JAZZ,LRCX
2020-02-22,PSX,VMC,LH,TIF,PFG,ATO,MTB,AWK,AEP,DISH
2020-02-23,CF,DG,DHR,GPN,VLO,MET,XYL,L,ETFC,BWA
2020-02-29,MDU,PII,CB,LULU,MMC,TRV,PLD,ANTM,MTB,ASH
2020-03-11,KMX,KIM,LB,GRA,JEC,CCI,CVS,XL,CXO,PLD
2020-03-13,RL,JLL,CB,KSU,AN,ARW,MHK,FLEX,BR,EFX
2020-03-15,ETR,GNW,MPC,BG,EIX,DNB,MRK,MU,BHGE,LNT
2020-03-18,SIRI,CELG,UNH,ACGL,ENDP,RF,SLG,AAP,BEN,ALKS
2020-03-24,CNP,JAZZ,IDXX,RMD,HSIC,AFL,NBL,CLB,BG,IR
2020-03-26,ED,CB,NUE,PXD,WMB,BHGE,NOV,UNP,DXCM,LDOS
2020-03-27,EXC,XYL,HLF,S,DE,JBHT,SEE,CINF,OC,TROW
2020-03-30,CMA,EMN,IFF,NBL,JCI,EV,URBN,IDXX,ETR,MRO
2020-04-02,DNB,HST,AMP,ANTM,LM,COO,JEC,JBHT,PBCT,AXTA
2020-04-06,AEP,FLR,TSCO,LNT,PANW,EIX,CFG,FANG,BDX,PAYX
2020-04-15,ECL,HST,HOLX,AIG,NEE,S,ZBH,MELI,VRTX,LM
2020-04-17,AMT,OII,WYND,GPN,STI,DNB,JEC,EA,SQ,KNX
2020-04-18,CBS,ACGL,ALXN,NKE,PNR,KO,INCY,MUR,STLD,CF
2020-04-26,,,,,,,,,,
